valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,emotion
0.756,2020,0.221,"['24kGoldn', 'iann dior']",0.7,140526,0.722,1,3tjFYV6RSFtuktYl3ZtYcq,0,7,0.272,-3.558,0,Mood (feat. iann dior),99,0.0369,90.989,2
0.347,2020,0.114,"['Pop Smoke', 'Lil Baby', 'DaBaby']",0.823,190476,0.586,1,0PvFJmanyNQMseIFrU708S,0,6,0.193,-6.606,0,For The Night (feat. Lil Baby & DaBaby),95,0.2,125.971,2
0.357,2020,0.0194,"['Cardi B', 'Megan Thee Stallion']",0.935,187541,0.454,1,4Oun2ylbjFKMPTiaSbbCih,0,1,0.0824,-7.509,1,WAP (feat. Megan Thee Stallion),96,0.375,133.073,2
0.522,2020,0.244,"['Drake', 'Lil Durk']",0.761,261493,0.518,1,2SAqBLGA283SUiwJ3xOUVI,3.47E-05,0,0.107,-8.871,1,Laugh Now Cry Later (feat. Lil Durk),93,0.134,133.976,4
0.682,2020,0.468,['Ariana Grande'],0.737,172325,0.802,1,35mvY5S1H3J2QZyna3TFe0,0,0,0.0931,-4.771,1,positions,96,0.0878,144.015,1
0.145,2020,0.401,"['Bad Bunny', 'Jhay Cortez']",0.731,205090,0.573,1,47EiUVwUp4C9fGccaPuUCS,5.22E-05,4,0.113,-10.059,0,Dakiti,100,0.0544,109.928,2
0.543,2020,0.65,['Pop Smoke'],0.709,160000,0.548,1,1tkg4EHVoqnhR6iFEXb60y,1.59E-06,10,0.133,-8.493,1,What You Know Bout Love,96,0.353,83.995,4
0.471,2020,0.256,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.799,195429,0.66,1,02kDW379Yfd5PzW5A6vuGt,0,1,0.111,-6.153,0,Lemonade,94,0.079,140.04,2
0.485,2020,0.237,['Ariana Grande'],0.83,173711,0.585,1,6Im9k8u9iIzKMrmV7BWtlF,0,0,0.248,-6.476,1,34+35,92,0.094,109.978,2
0.372,2020,0.196,"['Justin Bieber', 'Chance the Rapper']",0.673,212093,0.704,0,5u1n1kITHCxxp8twBcZxWy,0,6,0.0898,-8.056,1,Holy (feat. Chance The Rapper),95,0.36,86.919,3
0.334,2020,0.00146,['The Weeknd'],0.514,200040,0.73,0,0VjIjW4GlUZAMYd2vXMi3b,9.54E-05,1,0.0897,-5.934,1,Blinding Lights,96,0.0598,171.005,3
0.0804,2020,0.00336,['Juice WRLD'],0.65,194621,0.613,1,2U5WueTLIK5WJLD7mvDODv,0,9,0.267,-6.13,0,Wishing Well,90,0.128,149.972,2
0.737,2020,0.0112,['BTS'],0.746,199054,0.765,0,0t1kP63rueHleOhQkYSXFY,0,6,0.0936,-4.41,0,Dynamite,97,0.0993,114.044,4
0.27,2020,0.584,['Conan Gray'],0.357,198040,0.425,0,4xqrdfXkTW4T0RauPLv3WA,0,5,0.322,-7.301,1,Heather,93,0.0333,102.078,3
0.0927,2020,0.864,"['Justin Bieber', 'benny blanco']",0.631,149297,0.239,1,4y4spB9m0Q6026KfkAvy9Q,0,11,0.116,-7.071,0,Lonely (with benny blanco),95,0.0398,79.859,3
0.151,2020,0.0563,['Ritt Momney'],0.399,210463,0.491,0,6AGOKlMZWLCaEJGnaROtF9,0.00089,6,0.11,-10.778,0,Put Your Records On,93,0.0538,91.066,3
0.535,2020,0.0172,"['Juice WRLD', 'Marshmello']",0.625,205485,0.814,1,2Y0wPrPQBrGhoLn14xRYCG,0,0,0.158,-5.181,1,Come & Go (with Marshmello),90,0.0657,144.991,4
0.0799,2020,0.786,['Tate McRae'],0.642,169266,0.374,0,45bE4HXI0AwGZXfZtMp8JR,0,4,0.0906,-9.386,1,you broke me first,95,0.0545,124.099,2
0.716,2020,0.218,['Billie Eilish'],0.889,174321,0.34,0,54bFM56PmE4YLRnqpW6Tha,0.13,11,0.055,-7.773,0,Therefore I Am,93,0.0697,94.009,4
0.775,2020,0.11,['Jack Harlow'],0.794,156498,0.756,1,4DuUwzP4ALMqpquHU0ltAB,0,5,0.247,-7.16,0,Tyler Herro,88,0.136,123.066,1
0.835,2020,0.0631,"['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']",0.904,227478,0.723,1,2MbdDtCv5LUVjYy9RuGTgC,0,11,0.185,-5.224,0,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",88,0.26,145.013,1
0.456,2020,0.191,['Luke Combs'],0.487,232533,0.65,0,6IBcOGPsniK3Pso1wHIhew,0,0,0.0933,-5.195,1,Forever After All,86,0.0253,151.964,4
0.45,2020,0.057,"['DJ Khaled', 'Drake']",0.8,200221,0.56,1,6EDO9iiTtwNv6waLwa1UUq,0,5,0.134,-4.818,0,POPSTAR (feat. Drake),91,0.261,163.071,2
0.116,2020,0.345,['Polo G'],0.832,132833,0.534,1,1VLtjHwRWOVJiE5Py7JxoQ,0,1,0.165,-7.813,0,Martin & Gina,87,0.253,93.924,2
0.173,2020,0.36,['Ariana Grande'],0.487,201882,0.534,0,3UoULw70kMsiVXxW0L3A33,0,0,0.1,-5.664,0,pov,89,0.0555,131.798,3
0.415,2020,0.00748,"['21 Savage', 'Metro Boomin']",0.819,195906,0.626,1,5SWnsxjhdcEDc7LJjq9UHk,0.101,10,0.167,-4.574,0,Runnin,86,0.202,143.01,2
0.704,2020,0.231,"['21 Savage', 'Metro Boomin', 'Drake']",0.647,193839,0.667,1,4Q34FP1AT7GEl9oLgNtiWj,0,5,0.133,-5.563,1,Mr. Right Now (feat. Drake),86,0.304,172.08,1
0.132,2020,0.131,['Shawn Mendes'],0.333,172693,0.637,0,5KCbr5ndeby4y4ggthdiAb,1.80E-05,1,0.149,-4.904,0,Wonder,92,0.0581,139.898,3
0.322,2020,0.0469,"['Kane Brown', 'Swae Lee', 'Khalid']",0.727,191406,0.626,0,5f1joOtoMeyppIcJGZQvqJ,2.58E-05,7,0.126,-8.415,1,Be Like That - feat. Swae Lee & Khalid,87,0.0726,86.97,2
0.298,2020,0.00473,"['Machine Gun Kelly', 'blackbear']",0.731,139461,0.675,1,7kDUspsoYfLkWnZR7qwHZl,0,5,0.141,-5.134,0,my ex's best friend (with blackbear),88,0.0434,124.939,2
0.269,2020,0.487,"['Pop Smoke', 'Lil Tjay']",0.48,213333,0.602,1,5rZlwNFl01HqLWBQGryKSm,0,10,0.0848,-6.335,0,Mood Swings (feat. Lil Tjay),90,0.368,179.798,3
0.661,2020,0.0681,"['Ariana Grande', 'Doja Cat']",0.789,167990,0.742,1,5GkQIP5mWPi4KZLLXeuFTT,0,10,0.166,-5.664,0,motive (with Doja Cat),88,0.0652,116.965,1
0.774,2020,0.235,['Ashnikko'],0.834,146523,0.663,1,0AUvWawuP0ibk4SQ3sIZjk,0,8,0.372,-6.143,1,Daisy,90,0.133,121.876,1
0.462,2020,0.25,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.8,195429,0.658,1,7hxHWCCAIIxFLCzvDgnQHX,0,1,0.111,-6.142,0,"Lemonade (feat. Gunna, Don Toliver & NAV)",90,0.079,140.042,2
0.581,2020,0.316,"['Chris Brown', 'Young Thug']",0.755,176960,0.578,1,1IIKrJVP1C9N7iPtG6eOsK,0,0,0.25,-8.932,0,Go Crazy,89,0.145,94.148,4
0.915,2020,0.00883,"['Dua Lipa', 'DaBaby']",0.702,203064,0.825,0,463CkQjx2Zk1yXoBuierM9,0,6,0.0674,-3.787,0,Levitating (feat. DaBaby),89,0.0601,102.977,1
0.59,2020,0.428,['Morgan Wallen'],0.457,210123,0.774,0,0tbjiOUl4k492KPdWZS9sy,4.29E-05,0,0.119,-5.201,1,7 Summers,82,0.0336,203.863,1
0.259,2020,0.00115,['Miley Cyrus'],0.705,223279,0.814,0,27ycaQnQAxaPiyeg3nr2aB,0.00312,4,0.203,-5.466,0,Midnight Sky,91,0.0346,110,4
0.386,2020,0.00161,"['CORPSE', 'Savage Ga$p']",0.614,105176,0.937,1,7bCfHiRcfUjG0YVVNUL7Ve,0.00136,1,0.103,-7.443,1,E-GIRLS ARE RUINING MY LIFE!,86,0.115,84.98,2
0.348,2020,0.731,"['Powfu', 'beabadoobee']",0.726,173333,0.431,0,7eJMfftS33KTjuF7lTsMCx,0,8,0.696,-8.765,0,death bed (coffee for your head),90,0.135,144.026,4
0.609,2020,0.105,"['Maluma', 'The Weeknd']",0.766,200482,0.788,0,0GzuHFG4Ql6DoyxFRnIk3F,5.81E-06,6,0.142,-3.128,0,Hawái - Remix,90,0.312,179.984,1
0.745,2020,0.0614,"['DDG', 'Blueface']",0.928,170233,0.341,1,7o4gBbTM6UBLkOYPw9xMCz,0,11,0.162,-10.196,0,Moonwalking in Calabasas (feat. Blueface) - Remix,84,0.103,129.966,4
0.303,2020,0.232,['The Kid LAROI'],0.719,126521,0.598,0,5psEZhQu6lukjhavJo4AbC,0,9,0.115,-6.254,1,SO DONE,87,0.077,142.592,3
0.453,2020,0.00981,['Don Toliver'],0.629,167916,0.692,1,527k23H0A4Q0UJN3vGs0Da,0.331,5,0.603,-8.045,1,After Party,86,0.0376,162.948,2
0.286,2020,0.0221,"['Pop Smoke', '50 Cent', 'Roddy Ricch']",0.49,201600,0.618,1,1H7KnK26kc1YyellpbINEn,3.77E-06,1,0.259,-5.655,1,The Woo (feat. 50 Cent & Roddy Ricch),87,0.104,99.7,3
0.325,2020,0.0978,"['Big Sean', 'Post Malone']",0.724,199758,0.675,1,33gwZOGJWEZ7dRWPqPxBEZ,9.41E-06,2,0.351,-5.267,1,Wolves (feat. Post Malone),85,0.0867,160.048,2
0.522,2020,0.157,"['The Kid LAROI', 'Juice WRLD']",0.487,181688,0.74,1,2rPHUAeUPbNgTmK18FPTiZ,0,6,0.612,-4.973,1,GO (feat. Juice WRLD),83,0.0944,73.779,4
0.533,2020,0.149,['Polo G'],0.783,163798,0.479,1,3JKgcAa7r07ocVWcV8bS0H,0,7,0.101,-10.646,1,21,84,0.541,176.027,2
0.464,2020,0.08,['Ariana Grande'],0.719,149900,0.607,1,7Dx9Z6Aon1qPS2N0rHSWTe,0,8,0.125,-5.156,1,just like magic,85,0.165,128.006,4
0.905,2020,0.168,"['Joel Corry', 'MNEK']",0.734,166028,0.874,0,6cx06DFPPHchuUAcTxznu9,1.14E-05,8,0.0489,-3.158,1,Head & Heart (feat. MNEK),94,0.0662,122.953,1
0.647,2020,0.291,"['Juice WRLD', 'Marshmello', 'The Kid LAROI', 'Polo G']",0.701,160212,0.65,1,0ada5XsQGLPUVbmTCkAP49,0,6,0.112,-6.313,1,Hate The Other Side (with Marshmello & The Kid Laroi),84,0.104,90.003,1
0.225,2020,0.0417,['Juice WRLD'],0.706,242181,0.625,1,5dOxHHMOFAbG3VH23t0xNm,0,0,0.129,-7.426,1,Righteous,84,0.0314,142.948,2
0.161,2020,0.114,"['Gunna', 'Young Thug']",0.825,197760,0.458,1,3nS9a01VvXHQriLqJYwRqG,0,0,0.102,-7.47,1,DOLLAZ ON MY HEAD (feat. Young Thug),83,0.0577,145.115,2
0.574,2020,0.601,['Morgan Wallen'],0.621,216573,0.882,0,0eBXyY4SatzpE7opnzgXvz,0,6,0.132,-5.01,1,More Than My Hometown,81,0.0459,126.014,1
0.685,2020,0.125,['blackbear'],0.782,188344,0.559,1,2mt1IqcFyY1zmYZT8Q3xw9,0,6,0.385,-7.106,0,hot girl bummer,86,0.0767,129.992,4
0.761,2020,0.234,"['Jawsh 685', 'Jason Derulo']",0.767,171375,0.481,1,1xQ6trAsedVPCdbtDAmk0c,0,0,0.269,-8.52,0,Savage Love (Laxed - Siren Beat),91,0.0803,150.076,1
0.382,2020,0.519,"['Ariana Grande', 'The Weeknd']",0.411,239949,0.522,0,7E1jVNoWuemqUryI4FxsVD,0,0,0.398,-7.295,1,off the table (with The Weeknd),85,0.0981,88.332,4
0.195,2020,0.00815,['Pop Smoke'],0.688,164580,0.647,1,25zlnOAzbVoOzIeXSvQFf1,1.65E-05,2,0.095,-7.258,1,Got It On Me,85,0.19,88.834,3
0.564,2020,0.135,"['Lil Baby', '42 Dugg']",0.926,181929,0.542,1,6gxKUmycQX7uyMwJcweFjp,0,1,0.0877,-5.064,1,We Paid (feat. 42 Dugg),82,0.293,135.14,1
0.349,2020,0.207,['Lil Mosey'],0.774,162547,0.554,1,6wJYhPfqk3KGhHRG76WzOh,0,0,0.132,-7.909,1,Blueberry Faygo,84,0.0383,99.034,4
0.45,2020,0.00691,['BTS'],0.566,207481,0.716,0,249gnXrbfmV8NG6jTEMSwD,0,1,0.37,-5.733,1,Life Goes On,90,0.0424,81.068,4
0.8,2020,0.294,['Lee Brice'],0.643,188893,0.79,0,14GwnOeC9qYEKEA6uOZepa,0,4,0.107,-6.079,1,One Of Them Girls,80,0.0462,95.987,1
0.826,2020,0.017,['Jack Harlow'],0.923,139741,0.604,1,1jaTQ3nqY3oAAYyCTbIvnM,0,11,0.272,-6.671,0,WHATS POPPIN,84,0.245,145.062,1
0.459,2020,0.146,"['Money Man', 'Lil Baby']",0.868,182857,0.638,1,7v96VvFLS0wSYT8kewNLRy,0.0565,2,0.0931,-7.746,1,24 (feat. Lil Baby),82,0.0736,126.03,4
